category,agency,account,project,recipient,location,state,budget_request,additional_amount,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,requestor_three_full_name,requestor_three_bioguide_id,requestor_three_chamber,requestor_three_party,requestor_four_full_name,requestor_four_bioguide_id,requestor_four_chamber,requestor_four_party,requestor_five_full_name,requestor_five_bioguide_id,requestor_five_chamber,requestor_five_party,requestor_six_full_name,requestor_six_bioguide_id,requestor_six_chamber,requestor_six_party,requestor_seven_full_name,requestor_seven_bioguide_id,requestor_seven_chamber,requestor_seven_party,requestor_eight_full_name,requestor_eight_bioguide_id,requestor_eight_chamber,requestor_eight_party,requestor_nine_full_name,requestor_nine_bioguide_id,requestor_nine_chamber,requestor_nine_party
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Snohomish Health District, Everett, WA for a telehealth and electronic health records initiative, including purchase of equipment",,,WA,,,250000,H,Suzan K. DelBene,D000617,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Spectrum Health Lakeland, St. Joseph, MI for facilities and equipment, including information technology",,,MI,,,505000,H,Fred Upton,U000031,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Spokane County, Spokane, WA for equipment",,,WA,,,1125000,H,Cathy McMorris Rodgers,M001159,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"St. Barnabas Hospital, Bronx, NY for facilities and equipment",,,NY,,,1350000,H,Ritchie Torres,T000486,rep,Democrat,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"St. John’s Episcopal Hospital, Far Rockaway, NY for facilities and equipment for the Behavioral Health Equity Renovation Project",,,NY,,,2000000,H,Gregory W. Meeks,M001137,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"St. John’s Episcopal Hospital, Far Rockaway, NY for facilities and equipment for the Women and Newborns Health Equity Renovation Project",,,NY,,,2000000,H,Gregory W. Meeks,M001137,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"St. John’s University, Jamaica, NY for facilities and equipment",,,NY,,,1250000,H,Gregory W. Meeks,M001137,rep,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"St. Louis Center for Exceptional Children and Adults, Chelsea, MI for facilities and equipment",,,MI,,,500000,H,Tim Walberg,W000798,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"St. Luke’s Hospital, New Bedford, MA for facilities and equipment",,,MA,,,975000,H,William R. Keating,K000375,rep,Democrat,Edward J. Markey,M000133,sen,Democrat,Elizabeth Warren,W000817,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"St. Luke’s Quakertown Hospital, Quakertown, PA for facilities",,,PA,,,400000,H,Brian K. Fitzpatrick,F000466,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"St. Mary’s University of San Antonio, San Antonio, TX for facilities and equipment",,,TX,,,875000,H,Joaquin Castro,C001091,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"St. Tammany Parish Hospital Service District No. 1, d/b/a St. Tammany Health System, Covington, LA for equipment",,,LA,,,1000000,H,Steve Scalise,S001176,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Stanislaus County Behavioral Health and Recovery Services, Modesto, CA for facilities and equipment",,,CA,,,2000000,H,Josh Harder,H001090,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Staten Island University Hospital, Staten Island, NY for facilities and equipment",,,NY,,,2000000,H,Nicole Malliotakis,M000317,rep,Republican,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Stepping Stones Inc., Joliet, IL for facilities and equipment",,,IL,,,2000000,H,Bill Foster,F000454,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Stillman College, Tuscaloosa, AL for facilities and equipment",,,AL,,,800000,H,Terri Sewell,S001185,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Summa Health, Akron, OH for facilities and equipment",,,OH,,,1000000,H,Tim Ryan,R000577,rep,Democrat,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"SUNY Downstate Health Sciences University, Brooklyn, NY for facilities and equipment",,,NY,,,1925000,H,Yvette D. Clarke,C001067,rep,Democrat,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Terros, Inc.—DBA Terros Health, Phoenix, AZ for facilities and equipment for Terros Health— Stapley Health Center",,,AZ,,,600000,H,Greg Stanton,S001211,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Terros, Inc. DBA Terros Health, Phoenix, AZ for facilities and equipment",,,AZ,,,900000,H,Ruben Gallego,G000574,rep,Democrat,Kyrsten Sinema,S001191,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Texas Southern University, Houston, TX for facilities and equipment",,,TX,,,2000000,H,Sheila Jackson Lee,J000032,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Thresholds, Chicago, IL for facilities and equipment",,,IL,,,1000000,H,Marie Newman,N000192,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Tillamook Bay Community College Foundation, Tillamook, OR for a health workforce training initiative, including purchase of equipment",,,OR,,,425000,H,Kurt Schrader,S001180,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Touro University California, Vallejo, CA for facilities and equipment",,,CA,,,1000000,H,Mike Thompson,T000460,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Town of Randolph, MA for facilities and equipment at Randolph High School",,,MA,,,1000000,H,Ayanna Pressley,P000617,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Tulane University, New Orleans, LA for facilities and equipment",,,LA,,,1000000,H,Troy A. Carter,C001125,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"United Way of the Crossroads, Victoria, TX for a rural health initiative",,,TX,,,40000,H,Filemon Vela,V000132,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Universal Community Health Center, Los Angeles, CA for facilities and equipment",,,CA,,,300000,H,Lucille Roybal-Allard,R000486,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University at Albany, Albany, NY for purchase of equipment",,,NY,,,1000000,H,Paul Tonko,T000469,rep,Democrat,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University Health System, Inc., Knoxville, TN for facilities",,,TN,,,2000000,H,Tim Burchett,B001309,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University Health System, Inc., Knoxville, TN for facilities and equipment",,,TN,,,2000000,H,John Rose,R000612,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University Hospitals Cleveland Medical Center, Inc., Shaker Heights, OH for facilities and equipment for the University Hospitals Portage Medical Center",,,OH,,,1000000,H,Tim Ryan,R000577,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Alaska, Fairbanks, AK for facilities",,,AK,,,2000000,H,Todd Young,Y000064,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of California (San Francisco) Fresno Regional Campus, Fresno, CA for facilities and equipment",,,CA,,,475000,H,Jim Costa,C001059,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of California San Diego, La Jolla, CA for a telehealth initiative, including purchase of equipment",,,CA,,,950000,H,Scott H. Peters,P000608,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of California, Davis Health, Sacramento, CA for an electronic health record and telehealth initiative",,,CA,,,1700000,H,Doris O. Matsui,M001163,rep,Democrat,Alex Padilla,P000145,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of California-Davis, Davis, CA for a health workforce initiative",,,CA,,,1000000,H,John Garamendi,G000559,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Cincinnati Medical Center, Cincinnati, OH for facilities",,,OH,,,4000000,H,Steve Chabot,C000266,rep,Republican,Brad R. Wenstrup,W000815,rep,Republican,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Colorado Anschutz Medical Campus, Aurora, CO for a health workforce initiative",,,CO,,,1000000,H,Jason Crow,C001121,rep,Democrat,Michael F. Bennet,B001267,sen,Democrat,John W. Hickenlooper,H000273,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Florida Health Jacksonville, Jacksonville, FL for facilities and equipment",,,FL,,,705000,H,John H. Rutherford,R000609,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Hawaii System, Honolulu, HI for a rural health initiative",,,HI,,,1000000,H,Ed Case,C001055,rep,Democrat,Brian Schatz,S001194,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Illinois—Chicago, College of Dentistry and Oral Health, Chicago, IL for facilities and equipment",,,IL,,,500000,H,"Jesús G. ""Chuy"" García",G000586,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Massachusetts Boston, Boston, MA for facilities and equipment",,,MA,,,1350000,H,Stephen F. Lynch,L000562,rep,Democrat,Edward J. Markey,M000133,sen,Democrat,Elizabeth Warren,W000817,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Pittsburgh Medical Center Northwest, Seneca, PA for facilities and equipment",,,PA,,,100000,H,Glenn Thompson,T000467,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Saint Francis—Crown Point Campus, Fort Wayne, IN for facilities and equipment",,,IN,,,225000,H,Frank J. Mrvan,M001214,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Texas at Dallas, TX for facilities and equipment and a telehealth initiative",,,TX,,,850000,H,Eddie Bernice Johnson,J000126,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Texas Southwestern Medical Center, Dallas, TX for facilities and equipment",,,TX,,,1000000,H,Colin Z. Allred,A000376,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Texas Southwestern Medical Center, Dallas, TX for facilities and equipment",,,TX,,,800000,H,Eddie Bernice Johnson,J000126,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"University of Toledo Medical Center, Toledo, OH for facilities and equipment",,,OH,,,500000,H,Marcy Kaptur,K000009,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Urban Health Plan, Bronx, NY for facilities and equipment",,,NY,,,500000,H,Ritchie Torres,T000486,rep,Democrat,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Urban Health Plan, Inc., Corona, NY for facilities and equipment, including telehealth equipment",,,NY,,,100000,H,Alexandria Ocasio-Cortez,O000172,rep,Democrat,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Veterans Transition House, New Bedford, MA for a telehealth and electronic medical records initiative, including the purchase of equipment",,,MA,,,375000,H,William R. Keating,K000375,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Via Care Community Health Center, Los Angeles, CA for facilities and equipment",,,CA,,,150000,H,Judy Chu,C001080,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Village of Dwight, Dwight, IL for equipment",,,IL,,,250000,H,Adam Kinzinger,K000378,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Vinland National Center, Loretto, MN for facilities",,,MN,,,500000,H,Tom Emmer,E000294,rep,Republican,Amy Klobuchar,K000367,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Visiting Nurse Association of Central Jersey Freehold Family Health Center, Freehold, NJ for facilities and equipment",,,NJ,,,700000,H,Christopher H. Smith,S000522,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Visiting Nurse Association of Central Jersey Red Bank Primary Care Center, Red Bank, NJ for facilities and equipment",,,NJ,,,400000,H,Christopher H. Smith,S000522,rep,Republican,Cory A. Booker,B001288,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"WEAVE INC., Sacramento, CA for facilities and equipment",,,CA,,,275000,H,Ami Bera,B001287,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Wenatchee Valley College, Omak, WA for facilities",,,WA,,,2000000,H,Dan Newhouse,N000189,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"West Central Alabama Area Health Education Center, Demopolis, AL for a community health worker initiative and purchase of equipment",,,AL,,,300000,H,Terri Sewell,S001185,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Westchester Public/Private Membership Fund for Aging Services, Mount Vernon, NY for telehealth, including telehealth equipment",,,NY,,,375000,H,Jamaal Bowman,B001223,rep,Democrat,Kirsten E. Gillibrand,G000555,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Wheeling Health Right, Wheeling, WV for facilities and equipment",,,WV,,,350000,H,David B. McKinley,M001180,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"White Memorial Medical Center, Los Angeles, CA for facilities and equipment",,,CA,,,1200000,H,Jimmy Gomez,G000585,rep,Democrat,Dianne Feinstein,F000062,sen,Democrat,Alex Padilla,P000145,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Will-Grundy Medical Clinic Inc., Joliet, IL for facilities and equipment",,,IL,,,300000,H,Bill Foster,F000454,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"William F. Ryan Community Health Center, Inc., New York, NY for facilities and equipment",,,NY,,,2000000,H,Jerrold Nadler,N000002,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"WINGS Program Inc., Rolling Meadows, IL for facilities and equipment",,,IL,,,250000,H,Raja Krishnamoorthi,K000391,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Winters Health Foundation, Winters, CA for facilities and equipment",,,CA,,,500000,H,John Garamendi,G000559,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Young Men’s Christian Association of Greater Charlotte, Charlotte, NC for facilities and equipment",,,NC,,,2000000,H,Alma S. Adams,A000370,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Health Resources and Services Administration (HRSA),"Youthbuild Louisville , Louisville, KY for facilities and equipment",,,KY,,,600000,H,John A. Yarmuth,Y000062,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Access Community Health Network, Chicago, IL for behavioral health and supportive services",,,IL,,,140000,H,Raja Krishnamoorthi,K000391,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Adult & Teen Challenge USA, Ozark, MO for recovery support services, equipment, and technology",,,MO,,,475000,H,Billy Long,L000576,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"AdventHealth, Sanford, FL for substance use treatment and support services",,,FL,,,400000,H,Stephanie N. Murphy,M001202,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Adventist Health System West, Roseville, CA for mental health and substance use disorder services, including wraparound services",,,CA,,,985000,H,John Garamendi,G000559,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"All Star Children’s Foundation, Sarasota, FL for child welfare and trauma services program and associated support services",,,FL,,,1500000,H,Vern Buchanan,B001260,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Arlington County Government, Arlington, VA for a mobile mental health crisis response team",,,VA,,,390000,H,"Donald S. Beyer, Jr.",B001292,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Ashley, Inc., Havre de Grace, MD for a substance use treatment program partnership to identify, implement, and broadly disseminate new forms of SUD treatment targeted to underserved populations",,,MD,,,525000,H,C. A. Dutch Ruppersberger,R000576,rep,Democrat,Chris Van Hollen,V000128,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Assisted Recovery Centers of America, St. Louis, MO for mental health and substance use treatment and other wraparound services",,,MO,,,1300000,H,Cori Bush,B001224,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Behavioral Health Network of Vermont Inc., Montpelier, VT for Wheels and Waves opiate use disorder treatment program",,,VT,,,1150000,H,Peter Welch,W000800,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"BJC Healthcare, St. Louis, MO for behavioral health services for people experiencing homelessness",,,MO,,,800000,H,Cori Bush,B001224,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Capital Clubhouse Inc., Washington, DC for mental health and other support services",,,DC,,,210000,H,Eleanor Holmes Norton,N000147,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Cascade AIDS Project, Portland, OR for behavioral health services, including medication assisted treatment",,,OR,,,850000,H,Earl Blumenauer,B000574,rep,Democrat,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Champions In Service, Pacoima, CA for mental health and substance use disorder treatment and services",,,CA,,,200000,H,Tony Cárdenas,C001097,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Change the Outcome, Chanhassen, MN for substance use prevention and treatment services for youth and young adults",,,MN,,,375000,H,Dean Phillips,P000616,rep,Democrat,Amy Klobuchar,K000367,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Children’s Fund, Inc., San Bernardino, CA for trauma-informed mental health care for children",,,CA,,,100000,H,Pete Aguilar,A000371,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
